Nome;Preço;Change;Percentual;Data
USD/BRL - US Dollar Brazil Real;3.9374;-0.0280;-0.71;2019-05-03 16:33:03
USD/BRL - US Dollar Brazil Real;3.9374;-0.0280;-0.71;2019-05-03 16:34:02
USD/BRL - US Dollar Brazil Real;3.9364;-0.0290;-0.73;2019-05-03 16:35:03
USD/BRL - US Dollar Brazil Real;3.9359;-0.0295;-0.75;2019-05-03 16:36:02
USD/BRL - US Dollar Brazil Real;3.9354;-0.0301;-0.76;2019-05-03 16:37:02
USD/BRL - US Dollar Brazil Real;3.9348;-0.0306;-0.77;2019-05-03 16:38:03
USD/BRL - US Dollar Brazil Real;3.9348;-0.0306;-0.77;2019-05-03 16:39:04
USD/BRL - US Dollar Brazil Real;3.9356;-0.0298;-0.75;2019-05-03 16:40:03
USD/BRL - US Dollar Brazil Real;3.9370;-0.0284;-0.72;2019-05-03 16:41:02
USD/BRL - US Dollar Brazil Real;3.9373;-0.0282;-0.71;2019-05-03 16:42:02
USD/BRL - US Dollar Brazil Real;3.9378;-0.0276;-0.70;2019-05-03 16:43:11
USD/BRL - US Dollar Brazil Real;3.9378;-0.0276;-0.70;2019-05-03 16:44:02
USD/BRL - US Dollar Brazil Real;3.9383;-0.0271;-0.68;2019-05-03 16:45:02
USD/BRL - US Dollar Brazil Real;3.9388;-0.0266;-0.67;2019-05-03 16:46:02
USD/BRL - US Dollar Brazil Real;3.9389;-0.0266;-0.67;2019-05-03 16:47:03
USD/BRL - US Dollar Brazil Real;3.9388;-0.0266;-0.67;2019-05-03 16:48:02
USD/BRL - US Dollar Brazil Real;3.9391;-0.0263;-0.66;2019-05-03 16:49:02
USD/BRL - US Dollar Brazil Real;3.9378;-0.0276;-0.70;2019-05-03 16:50:02
USD/BRL - US Dollar Brazil Real;3.9384;-0.0271;-0.68;2019-05-03 16:51:02
USD/BRL - US Dollar Brazil Real;3.9378;-0.0276;-0.70;2019-05-03 16:52:03
USD/BRL - US Dollar Brazil Real;3.9370;-0.0284;-0.72;2019-05-03 16:53:03
USD/BRL - US Dollar Brazil Real;3.9370;-0.0284;-0.72;2019-05-03 16:54:02
USD/BRL - US Dollar Brazil Real;3.9374;-0.0280;-0.71;2019-05-03 16:55:02
USD/BRL - US Dollar Brazil Real;3.9384;-0.0271;-0.68;2019-05-03 16:56:01
USD/BRL - US Dollar Brazil Real;3.9391;-0.0263;-0.66;2019-05-03 16:57:02
USD/BRL - US Dollar Brazil Real;3.9391;-0.0263;-0.66;2019-05-03 16:58:02
USD/BRL - US Dollar Brazil Real;3.9393;-0.0261;-0.66;2019-05-03 16:59:02
USD/BRL - US Dollar Brazil Real;3.9394;-0.0261;-0.66;2019-05-03 17:00:02
USD/BRL - US Dollar Brazil Real;3.9398;-0.0256;-0.65;2019-05-03 17:01:03
USD/BRL - US Dollar Brazil Real;3.9399;-0.0255;-0.64;2019-05-03 17:02:02
USD/BRL - US Dollar Brazil Real;3.9389;-0.0266;-0.67;2019-05-03 17:03:02
USD/BRL - US Dollar Brazil Real;3.9388;-0.0266;-0.67;2019-05-03 17:04:02
USD/BRL - US Dollar Brazil Real;3.9388;-0.0266;-0.67;2019-05-03 17:05:03
USD/BRL - US Dollar Brazil Real;3.9389;-0.0266;-0.67;2019-05-03 17:06:02
USD/BRL - US Dollar Brazil Real;3.9389;-0.0266;-0.67;2019-05-03 17:07:02
USD/BRL - US Dollar Brazil Real;3.9380;-0.0274;-0.69;2019-05-03 17:08:05
USD/BRL - US Dollar Brazil Real;3.9374;-0.0280;-0.71;2019-05-03 17:09:02
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:10:06
USD/BRL - US Dollar Brazil Real;3.9376;-0.0278;-0.70;2019-05-03 17:11:02
USD/BRL - US Dollar Brazil Real;3.9362;-0.0293;-0.74;2019-05-03 17:12:03
USD/BRL - US Dollar Brazil Real;3.9359;-0.0295;-0.75;2019-05-03 17:13:02
USD/BRL - US Dollar Brazil Real;3.9364;-0.0290;-0.73;2019-05-03 17:14:02
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:15:02
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:16:02
USD/BRL - US Dollar Brazil Real;3.9368;-0.0286;-0.72;2019-05-03 17:17:02
USD/BRL - US Dollar Brazil Real;3.9364;-0.0290;-0.73;2019-05-03 17:18:02
USD/BRL - US Dollar Brazil Real;3.9359;-0.0295;-0.75;2019-05-03 17:19:02
USD/BRL - US Dollar Brazil Real;3.9349;-0.0306;-0.77;2019-05-03 17:20:03
USD/BRL - US Dollar Brazil Real;3.9346;-0.0308;-0.78;2019-05-03 17:21:02
USD/BRL - US Dollar Brazil Real;3.9354;-0.0300;-0.76;2019-05-03 17:22:02
USD/BRL - US Dollar Brazil Real;3.9359;-0.0295;-0.75;2019-05-03 17:23:02
USD/BRL - US Dollar Brazil Real;3.9354;-0.0300;-0.76;2019-05-03 17:24:02
USD/BRL - US Dollar Brazil Real;3.9359;-0.0295;-0.74;2019-05-03 17:25:03
USD/BRL - US Dollar Brazil Real;3.9364;-0.0290;-0.73;2019-05-03 17:26:02
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:27:02
USD/BRL - US Dollar Brazil Real;3.9370;-0.0284;-0.72;2019-05-03 17:28:02
USD/BRL - US Dollar Brazil Real;3.9364;-0.0290;-0.73;2019-05-03 17:29:02
USD/BRL - US Dollar Brazil Real;3.9361;-0.0293;-0.74;2019-05-03 17:30:02
USD/BRL - US Dollar Brazil Real;3.9356;-0.0298;-0.75;2019-05-03 17:31:02
USD/BRL - US Dollar Brazil Real;3.9363;-0.0291;-0.73;2019-05-03 17:32:02
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:33:02
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:34:03
USD/BRL - US Dollar Brazil Real;3.9363;-0.0291;-0.73;2019-05-03 17:35:03
USD/BRL - US Dollar Brazil Real;3.9367;-0.0288;-0.72;2019-05-03 17:36:02
USD/BRL - US Dollar Brazil Real;3.9364;-0.0290;-0.73;2019-05-03 17:37:06
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:38:05
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:39:03
USD/BRL - US Dollar Brazil Real;3.9374;-0.0280;-0.71;2019-05-03 17:40:03
USD/BRL - US Dollar Brazil Real;3.9369;-0.0285;-0.72;2019-05-03 17:41:02
USD/BRL - US Dollar Brazil Real;3.9359;-0.0295;-0.75;2019-05-03 17:42:01
USD/BRL - US Dollar Brazil Real;3.9349;-0.0306;-0.77;2019-05-03 17:43:02
